Position,Season,Club,Matches,Win_Percentage,Wins,Draw_Percentage,Draws,Loss_Percentage,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2010/11,Lille,38,55.26315789,21,34.21052632,13,10.52631579,4,68,36,32,76
2,2010/11,Marseille,38,47.36842105,18,36.84210526,14,15.78947368,6,62,39,23,68
3,2010/11,Lyon,38,44.73684211,17,34.21052632,13,21.05263158,8,61,40,21,64
4,2010/11,Paris Saint-Germain,38,39.47368421,15,39.47368421,15,21.05263158,8,56,41,15,60
5,2010/11,Sochaux,38,44.73684211,17,18.42105263,7,36.84210526,14,60,43,17,58
6,2010/11,Rennes,38,39.47368421,15,28.94736842,11,31.57894737,12,38,35,3,56
7,2010/11,Bordeaux,38,31.57894737,12,39.47368421,15,28.94736842,11,43,42,1,51
8,2010/11,Toulouse,38,36.84210526,14,21.05263158,8,42.10526316,16,38,36,2,50
9,2010/11,Auxerre,38,26.31578947,10,50,19,23.68421053,9,45,41,4,49
10,2010/11,St Etienne,38,31.57894737,12,34.21052632,13,34.21052632,13,46,47,-1,49
11,2010/11,Lorient,38,31.57894737,12,34.21052632,13,34.21052632,13,46,48,-2,49
12,2010/11,Valenciennes,38,26.31578947,10,47.36842105,18,26.31578947,10,45,41,4,48
13,2010/11,Nancy,38,34.21052632,13,23.68421053,9,42.10526316,16,43,48,-5,48
14,2010/11,Montpellier,38,31.57894737,12,28.94736842,11,39.47368421,15,32,43,-11,47
15,2010/11,Caen,38,28.94736842,11,34.21052632,13,36.84210526,14,46,51,-5,46
16,2010/11,Brest,38,28.94736842,11,34.21052632,13,36.84210526,14,36,43,-7,46
17,2010/11,Nice,38,28.94736842,11,34.21052632,13,36.84210526,14,33,48,-15,46
18,2010/11,Monaco,38,23.68421053,9,44.73684211,17,31.57894737,12,36,40,-4,44
19,2010/11,RC Lens,38,18.42105263,7,36.84210526,14,44.73684211,17,35,58,-23,35
20,2010/11,Arles,38,7.894736842,3,28.94736842,11,63.15789474,24,21,70,-49,20
1,2011/12,Montpellier,38,65.78947368,25,18.42105263,7,15.78947368,6,68,34,34,82
2,2011/12,Paris Saint-Germain,38,60.52631579,23,26.31578947,10,13.15789474,5,75,41,34,79
3,2011/12,Lille,38,55.26315789,21,28.94736842,11,15.78947368,6,72,39,33,74
4,2011/12,Lyon,38,50,19,18.42105263,7,31.57894737,12,64,51,13,64
5,2011/12,Bordeaux,38,42.10526316,16,34.21052632,13,23.68421053,9,53,41,12,61
6,2011/12,Rennes,38,44.73684211,17,23.68421053,9,31.57894737,12,53,44,9,60
7,2011/12,St Etienne,38,42.10526316,16,23.68421053,9,34.21052632,13,49,45,4,57
8,2011/12,Toulouse,38,39.47368421,15,28.94736842,11,31.57894737,12,37,34,3,56
