HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
Auxerre,Lorient,2,2,D,1,1,D,11,10,6,2,14,9,3,3,3,3,0,0
Lens,Nancy,1,2,A,0,1,A,17,19,6,6,17,18,2,4,3,1,0,1
Lyon,Monaco,0,0,D,0,0,D,16,9,5,4,14,24,3,5,2,3,0,0
Marseille,Caen,1,2,A,0,0,D,16,12,3,2,16,23,6,3,2,3,0,0
Nice,Valenciennes,0,0,D,0,0,D,10,11,2,1,11,20,4,6,0,3,0,0
Paris SG,St Etienne,3,1,H,2,1,H,19,14,6,5,11,12,6,7,2,1,0,0
Rennes,Lille,1,1,D,1,0,H,20,14,5,5,23,21,6,3,3,3,0,0
Sochaux,Arles,2,1,H,1,1,D,14,10,6,1,16,19,10,3,2,4,0,0
Toulouse,Brest,2,0,H,1,0,H,9,9,4,1,21,18,2,3,3,2,0,0
Montpellier,Bordeaux,1,0,H,0,0,D,9,8,3,1,22,13,5,1,5,2,0,0
Arles,Lens,0,1,A,0,0,D,11,10,3,4,13,17,4,4,1,0,0,0
Bordeaux,Toulouse,1,2,A,0,1,A,10,6,3,3,17,22,4,1,2,4,0,0
Brest,Auxerre,1,1,D,1,0,H,11,12,3,4,29,16,8,7,2,3,0,0
Caen,Lyon,3,2,H,2,2,D,12,16,7,2,16,17,4,2,2,1,0,1
Lille,Paris SG,0,0,D,0,0,D,11,10,1,4,16,14,5,1,1,4,0,0
Lorient,Nice,1,2,A,1,1,D,11,14,2,5,11,15,5,5,1,2,0,0
Nancy,Rennes,0,3,A,0,0,D,9,15,2,6,13,13,5,2,0,0,1,0
St Etienne,Sochaux,3,2,H,1,0,H,17,16,7,6,20,14,7,10,2,1,0,0
Valenciennes,Marseille,3,2,H,0,0,D,13,14,6,3,20,10,2,6,3,4,0,0
Monaco,Montpellier,0,0,D,0,0,D,10,19,2,4,17,12,1,1,1,3,0,0
Auxerre,Valenciennes,1,1,D,0,0,D,9,7,2,2,19,11,7,4,3,2,0,0
Lens,Monaco,2,2,D,0,1,A,23,7,6,2,3,20,7,0,1,5,0,0
Lyon,Brest,1,0,H,1,0,H,13,18,7,3,15,19,6,6,1,3,0,0
Marseille,Lorient,2,0,H,1,0,H,16,12,6,5,19,15,5,3,2,3,0,0
Nice,Nancy,1,1,D,1,0,H,9,13,4,6,12,17,3,3,1,3,0,1
Rennes,St Etienne,0,0,D,0,0,D,19,9,2,2,18,19,5,0,2,2,0,0
Toulouse,Arles,2,1,H,1,0,H,8,8,3,3,22,15,5,1,3,2,0,0
Montpellier,Caen,0,0,D,0,0,D,19,2,5,0,17,23,4,1,2,2,0,0
Paris SG,Bordeaux,1,2,A,0,0,D,15,10,6,4,11,16,6,5,1,5,0,0
Sochaux,Lille,0,0,D,0,0,D,9,17,1,7,12,11,3,6,1,2,0,0
Arles,Rennes,0,1,A,0,1,A,12,7,4,1,11,16,6,1,1,1,0,0
Caen,Brest,0,2,A,0,0,D,7,16,1,4,22,17,6,6,4,2,1,0
Lorient,Lyon,2,0,H,1,0,H,15,14,7,4,17,12,3,8,0,0,0,0
Nancy,Toulouse,0,2,A,0,0,D,16,13,5,6,22,17,5,3,4,2,0,0
St Etienne,Lens,3,1,H,1,0,H,14,13,6,6,19,18,3,6,1,1,1,0
Valenciennes,Montpellier,0,1,A,0,1,A,9,15,2,5,19,16,5,1,3,1,0,0
Bordeaux,Marseille,1,1,D,0,1,A,14,8,4,5,14,20,9,4,1,2,0,1
Lille,Nice,1,1,D,0,1,A,17,7,5,3,13,25,18,3,0,5,0,0
Monaco,Auxerre,2,0,H,0,0,D,20,11,5,1,16,11,10,5,0,0,0,0
Sochaux,Paris SG,3,1,H,3,0,H,15,19,7,8,14,15,7,10,2,1,0,1
Auxerre,Caen,1,1,D,1,0,H,11,12,5,2,18,16,1,5,0,3,0,0
Lens,Lille,1,4,A,0,1,A,8,19,5,6,16,19,2,9,0,3,2,0
Lyon,Valenciennes,1,1,D,1,0,H,17,11,2,5,9,19,9,4,0,0,0,0
Montpellier,Nancy,1,2,A,0,2,A,17,15,4,5,12,11,9,2,2,2,0,1
Paris SG,Arles,4,0,H,2,0,H,22,11,7,5,8,16,10,5,0,0,0,0
Rennes,Sochaux,2,1,H,1,1,D,17,15,5,9,17,17,9,3,3,1,0,0
Toulouse,St Etienne,0,1,A,0,1,A,11,9,0,3,16,13,3,3,2,2,0,0
Brest,Lorient,0,0,D,0,0,D,17,9,2,1,23,18,5,5,0,1,0,0
Marseille,Monaco,2,2,D,1,1,D,26,8,10,4,14,23,3,2,1,3,0,0
Nice,Bordeaux,2,1,H,1,0,H,12,13,6,4,18,21,6,1,4,2,0,0
Arles,Marseille,0,3,A,0,2,A,16,15,6,8,14,12,9,3,2,1,0,0
Lorient,Caen,0,1,A,0,1,A,18,13,4,4,12,17,4,1,1,2,0,0
Monaco,Toulouse,0,0,D,0,0,D,9,10,2,5,13,14,2,5,4,2,0,0
Nancy,Brest,0,2,A,0,0,D,16,9,3,5,14,11,6,1,0,1,0,0
Sochaux,Nice,4,0,H,1,0,H,24,11,12,7,17,14,9,4,2,2,0,0
St Etienne,Montpellier,3,0,H,2,0,H,10,13,4,1,17,21,3,2,0,1,0,0
Valenciennes,Lens,1,1,D,0,0,D,10,12,2,3,18,10,1,7,2,3,0,0
Bordeaux,Lyon,2,0,H,0,0,D,19,10,5,1,15,23,7,4,3,3,0,0
Lille,Auxerre,1,0,H,0,0,D,11,8,1,2,13,15,6,3,2,2,0,0
Paris SG,Rennes,0,0,D,0,0,D,11,10,2,2,19,15,5,0,0,1,0,0
Auxerre,Nancy,2,2,D,2,2,D,17,7,5,3,9,18,3,1,3,2,0,0
Caen,Bordeaux,0,0,D,0,0,D,3,14,1,4,23,13,3,2,2,2,0,0
Lorient,Monaco,2,1,H,1,1,D,24,2,6,1,8,20,8,0,1,4,0,1
Lyon,St Etienne,0,1,A,0,0,D,28,5,4,2,11,21,12,2,3,4,1,0
Marseille,Sochaux,2,1,H,1,0,H,25,8,5,2,15,17,9,2,0,2,0,0
Montpellier,Arles,3,1,H,1,0,H,13,15,4,4,22,24,5,4,2,5,1,0
Nice,Rennes,1,2,A,1,1,D,8,10,3,5,15,20,2,4,2,3,0,0
Brest,Valenciennes,1,0,H,0,0,D,13,6,5,3,13,20,7,4,0,3,0,0
Lens,Paris SG,0,2,A,0,0,D,14,20,3,6,18,19,4,7,0,3,0,0
Toulouse,Lille,1,1,D,0,1,A,14,6,6,2,22,10,3,0,3,3,0,0
Arles,Auxerre,0,4,A,0,2,A,8,14,0,8,16,18,5,0,1,0,0,0
Bordeaux,Lorient,1,0,H,1,0,H,10,7,2,3,22,15,6,8,1,3,0,0
Monaco,Brest,0,1,A,0,0,D,13,10,7,2,18,10,8,5,2,1,0,0
Nancy,Lyon,2,3,A,0,1,A,19,8,6,3,20,21,6,3,1,3,0,0
Sochaux,Lens,3,0,H,2,0,H,11,12,7,5,16,13,3,5,1,3,0,0
St Etienne,Marseille,1,1,D,0,1,A,18,13,8,3,12,10,9,4,1,1,0,0
Valenciennes,Caen,2,1,H,2,0,H,14,7,4,1,22,10,5,3,2,3,0,0
Lille,Montpellier,3,1,H,2,1,H,11,15,6,6,14,18,3,3,1,0,0,0
Paris SG,Nice,0,0,D,0,0,D,19,11,6,2,10,10,12,3,1,4,0,0
Rennes,Toulouse,3,1,H,1,0,H,14,15,7,2,9,15,3,4,0,1,0,0
