Position,Season,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2013/14,Paris Saint-Germain,38,27,8,3,84,23,61,89
2,2013/14,Monaco,38,23,11,4,63,31,32,80
3,2013/14,Lille,38,20,11,7,46,26,20,71
4,2013/14,St Etienne,38,20,9,9,56,34,22,69
5,2013/14,Lyon,38,17,10,11,56,44,12,61
6,2013/14,Marseille,38,16,12,10,53,40,13,60
7,2013/14,Bordeaux,38,13,14,11,49,43,6,53
8,2013/14,Lorient,38,13,10,15,48,53,-5,49
9,2013/14,Toulouse,38,12,13,13,46,53,-7,49
10,2013/14,Bastia,38,12,11,15,42,56,-14,49
11,2013/14,Reims,38,12,12,14,44,55,-11,48
12,2013/14,Rennes,38,11,13,14,47,45,2,46
13,2013/14,Nantes,38,12,11,15,38,43,-5,46
14,2013/14,Evian Thonon Gaillar,38,11,11,16,39,51,-12,44
15,2013/14,Montpellier,38,8,18,12,45,53,-8,42
16,2013/14,Guingamp,38,11,9,18,34,42,-8,42
17,2013/14,Nice,38,12,6,20,30,45,-15,42
18,2013/14,Sochaux,38,10,10,18,37,61,-24,40
19,2013/14,Valenciennes,38,7,8,23,37,65,-28,29
20,2013/14,AC Ajaccio,38,4,11,23,37,72,-35,23
