Position,Club,Season,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,Man United,2010/11,38,23,11,4,78,37,41,80
2,Chelsea,2010/11,38,21,8,9,69,33,36,71
3,Man City,2010/11,38,21,8,9,60,33,27,71
4,Arsenal,2010/11,38,19,11,8,72,43,29,68
5,Tottenham,2010/11,38,16,14,8,55,46,9,62
6,Liverpool,2010/11,38,17,7,14,59,44,15,58
7,Everton,2010/11,38,13,15,10,51,45,6,54
8,Fulham,2010/11,38,11,16,11,49,43,6,49
9,Aston Villa,2010/11,38,12,12,14,48,59,-11,48
10,Sunderland,2010/11,38,12,11,15,45,56,-11,47
11,West Brom,2010/11,38,12,11,15,56,71,-15,47
12,Newcastle,2010/11,38,11,13,14,56,57,-1,46
13,Stoke,2010/11,38,13,7,18,46,48,-2,46
14,Bolton,2010/11,38,12,10,16,52,56,-4,46
15,Blackburn,2010/11,38,11,10,17,46,59,-13,43
16,Wigan,2010/11,38,9,15,14,40,61,-21,42
17,Wolves,2010/11,38,11,7,20,46,66,-20,40
18,Birmingham,2010/11,38,8,15,15,37,58,-21,39
19,Blackpool,2010/11,38,10,9,19,55,78,-23,39
20,West Ham,2010/11,38,7,12,19,43,70,-27,33
1,Man City,2011/12,38,28,5,5,93,29,64,89
2,Man United,2011/12,38,28,5,5,89,33,56,89
3,Arsenal,2011/12,38,21,7,10,74,49,25,70
4,Tottenham,2011/12,38,20,9,9,66,41,25,69
5,Newcastle,2011/12,38,19,8,11,56,51,5,65
6,Chelsea,2011/12,38,18,10,10,65,46,19,64
7,Everton,2011/12,38,15,11,12,50,40,10,56
8,Liverpool,2011/12,38,14,10,14,47,40,7,52
9,Fulham,2011/12,38,14,10,14,48,51,-3,52
10,West Brom,2011/12,38,13,8,17,45,52,-7,47
11,Swansea,2011/12,38,12,11,15,44,51,-7,47
12,Norwich,2011/12,38,12,11,15,52,66,-14,47
13,Sunderland,2011/12,38,11,12,15,45,46,-1,45
14,Stoke,2011/12,38,11,12,15,36,53,-17,45
15,Wigan,2011/12,38,11,10,17,42,62,-20,43
16,Aston Villa,2011/12,38,7,17,14,37,53,-16,38
17,QPR,2011/12,38,10,7,21,43,66,-23,37
18,Bolton,2011/12,38,10,6,22,46,77,-31,36
19,Blackburn,2011/12,38,8,7,23,48,78,-30,31
20,Wolves,2011/12,38,5,10,23,40,82,-42,25
1,Man United,2012/13,38,28,5,5,86,43,43,89
2,Man City,2012/13,38,23,9,6,66,34,32,78
3,Chelsea,2012/13,38,22,9,7,75,39,36,75
4,Arsenal,2012/13,38,21,10,7,72,37,35,73
5,Tottenham,2012/13,38,21,9,8,66,46,20,72
6,Everton,2012/13,38,16,15,7,55,40,15,63
7,Liverpool,2012/13,38,16,13,9,71,43,28,61
8,West Brom,2012/13,38,14,7,17,53,57,-4,49
9,Swansea,2012/13,38,11,13,14,47,51,-4,46
10,West Ham,2012/13,38,12,10,16,45,53,-8,46
11,Norwich,2012/13,38,10,14,14,41,58,-17,44
12,Fulham,2012/13,38,11,10,17,50,60,-10,43
13,Stoke,2012/13,38,9,15,14,34,45,-11,42
14,Southampton,2012/13,38,9,14,15,49,60,-11,41
15,Aston Villa,2012/13,38,10,11,17,47,69,-22,41
16,Newcastle,2012/13,38,11,8,19,45,68,-23,41
17,Sunderland,2012/13,38,9,12,17,41,54,-13,39
18,Wigan,2012/13,38,9,9,20,47,73,-26,36
19,Reading,2012/13,38,6,10,22,43,73,-30,28
20,QPR,2012/13,38,4,13,21,30,60,-30,25
1,Man City,2013/14,38,27,5,6,102,37,65,86
2,Liverpool,2013/14,38,26,6,6,101,50,51,84
3,Chelsea,2013/14,38,25,7,6,71,27,44,82
4,Arsenal,2013/14,38,24,7,7,68,41,27,79
5,Everton,2013/14,38,21,9,8,61,39,22,72
6,Tottenham,2013/14,38,21,6,11,55,51,4,69
7,Man United,2013/14,38,19,7,12,64,43,21,64
8,Southampton,2013/14,38,15,11,12,54,46,8,56
9,Stoke,2013/14,38,13,11,14,45,52,-7,50
10,Newcastle,2013/14,38,15,4,19,43,59,-16,49
11,Crystal Palace,2013/14,38,13,6,19,33,48,-15,45
12,Swansea,2013/14,38,11,9,18,54,54,0,42
13,West Ham,2013/14,38,11,7,20,40,51,-11,40
14,Sunderland,2013/14,38,10,8,20,41,60,-19,38
15,Aston Villa,2013/14,38,10,8,20,39,61,-22,38
16,Hull,2013/14,38,10,7,21,38,53,-15,37
17,West Brom,2013/14,38,7,15,16,43,59,-16,36
18,Norwich,2013/14,38,8,9,21,28,62,-34,33
19,Fulham,2013/14,38,9,5,24,40,85,-45,32
20,Cardiff,2013/14,38,7,9,22,32,74,-42,30
1,Chelsea,2014/15,38,26,9,3,73,32,41,87
2,Man City,2014/15,38,24,7,7,83,38,45,79
3,Arsenal,2014/15,38,22,9,7,71,36,35,75
4,Man United,2014/15,38,20,10,8,62,37,25,70
5,Tottenham,2014/15,38,19,7,12,58,53,5,64
6,Liverpool,2014/15,38,18,8,12,52,48,4,62
7,Southampton,2014/15,38,18,6,14,54,33,21,60
8,Swansea,2014/15,38,16,8,14,46,49,-3,56
9,Stoke,2014/15,38,15,9,14,48,45,3,54
10,Crystal Palace,2014/15,38,13,9,16,47,51,-4,48
11,Everton,2014/15,38,12,11,15,48,50,-2,47
12,West Ham,2014/15,38,12,11,15,44,47,-3,47
13,West Brom,2014/15,38,11,11,16,38,51,-13,44
14,Leicester,2014/15,38,11,8,19,46,55,-9,41
15,Newcastle,2014/15,38,10,9,19,40,63,-23,39
16,Sunderland,2014/15,38,7,17,14,31,53,-22,38
17,Aston Villa,2014/15,38,10,8,20,31,57,-26,38
18,Hull,2014/15,38,8,11,19,33,51,-18,35
19,Burnley,2014/15,38,7,12,19,28,53,-25,33
20,QPR,2014/15,38,8,6,24,42,73,-31,30
1,Leicester,2015/16,38,23,12,3,68,36,32,81
2,Arsenal,2015/16,38,20,11,7,65,36,29,71
3,Tottenham,2015/16,38,19,13,6,69,35,34,70
4,Man City,2015/16,38,19,9,10,71,41,30,66
5,Man United,2015/16,38,19,9,10,49,35,14,66
6,Southampton,2015/16,38,18,9,11,59,41,18,63
7,West Ham,2015/16,38,16,14,8,65,51,14,62
8,Liverpool,2015/16,38,16,12,10,63,50,13,60
9,Stoke,2015/16,38,14,9,15,41,55,-14,51
10,Chelsea,2015/16,38,12,14,12,59,53,6,50
11,Everton,2015/16,38,11,14,13,59,55,4,47
12,Swansea,2015/16,38,12,11,15,42,52,-10,47
13,Watford,2015/16,38,12,9,17,40,50,-10,45
14,West Brom,2015/16,38,10,13,15,34,48,-14,43
15,Crystal Palace,2015/16,38,11,9,18,39,51,-12,42
16,Bournemouth,2015/16,38,11,9,18,45,67,-22,42
17,Sunderland,2015/16,38,9,12,17,48,62,-14,39
18,Newcastle,2015/16,38,9,10,19,44,65,-21,37
19,Norwich,2015/16,38,9,7,22,39,67,-28,34
20,Aston Villa,2015/16,38,3,8,27,27,76,-49,17
1,Chelsea,2016/17,38,30,3,5,85,33,52,93
2,Tottenham,2016/17,38,26,8,4,86,26,60,86
3,Man City,2016/17,38,23,9,6,80,39,41,78
4,Liverpool,2016/17,38,22,10,6,78,42,36,76
5,Arsenal,2016/17,38,23,6,9,77,44,33,75
6,Man United,2016/17,38,18,15,5,54,29,25,69
