,Position10_11,Club,Matches10_11,Wins10_11,Draws10_11,Losses10_11,GoalsScored10_11,GoalsConceded10_11,GoalDiff10_11,Points10_11,Position11_12,Matches11_12,Wins11_12,Draws11_12,Losses11_12,GoalsScored11_12,GoalsConceded11_12,GoalDiff11_12,Points11_12,Position12_13,Matches12_13,Wins12_13,Draws12_13,Losses12_13,GoalsScored12_13,GoalsConceded12_13,GoalDiff12_13,Points12_13,Position13_14,Matches13_14,Wins13_14,Draws13_14,Losses13_14,GoalsScored13_14,GoalsConceded13_14,GoalDiff13_14,Points13_14,Position14_15,Matches14_15,Wins14_15,Draws14_15,Losses14_15,GoalsScored14_15,GoalsConceded14_15,GoalDiff14_15,Points14_15,Position15_16,Matches15_16,Wins15_16,Draws15_16,Losses15_16,GoalsScored15_16,GoalsConceded15_16,GoalDiff15_16,Points15_16,Position16_17,Matches16_17,Wins16_17,Draws16_17,Losses16_17,GoalsScored16_17,GoalsConceded16_17,GoalDiff16_17,Points16_17,Position17_18,Matches17_18,Wins17_18,Draws17_18,Losses17_18,GoalsScored17_18,GoalsConceded17_18,GoalDiff17_18,Points17_18,Position18_19,Matches18_19,Wins18_19,Draws18_19,Losses18_19,GoalsScored18_19,GoalsConceded18_19,GoalDiff18_19,Points18_19,Position19_20,Matches19_20,Wins19_20,Draws19_20,Losses19_20,GoalsScored19_20,GoalsConceded19_20,GoalDiff19_20,Points19_20
0,1,Man United,38,23,11,4,78,37,41,80,2,38,28,5,5,89,33,56,89,1,38,28,5,5,86,43,43,89,7,38,19,7,12,64,43,21,64,4,38,20,10,8,62,37,25,70,5,38,19,9,10,49,35,14,66,6,38,18,15,5,54,29,25,69,2,38,25,6,7,68,28,40,81,6,38,19,9,10,65,54,11,66,3,38,18,12,8,66,36,30,66
1,2,Chelsea,38,21,8,9,69,33,36,71,6,38,18,10,10,65,46,19,64,3,38,22,9,7,75,39,36,75,3,38,25,7,6,71,27,44,82,1,38,26,9,3,73,32,41,87,10,38,12,14,12,59,53,6,50,1,38,30,3,5,85,33,52,93,5,38,21,7,10,62,38,24,70,3,38,21,9,8,63,39,24,72,4,38,20,6,12,69,54,15,66
2,3,Man City,38,21,8,9,60,33,27,71,1,38,28,5,5,93,29,64,89,2,38,23,9,6,66,34,32,78,1,38,27,5,6,102,37,65,86,2,38,24,7,7,83,38,45,79,4,38,19,9,10,71,41,30,66,3,38,23,9,6,80,39,41,78,1,38,32,4,2,106,27,79,100,1,38,32,2,4,95,23,72,98,2,38,26,3,9,102,35,67,81
3,4,Arsenal,38,19,11,8,72,43,29,68,3,38,21,7,10,74,49,25,70,4,38,21,10,7,72,37,35,73,4,38,24,7,7,68,41,27,79,3,38,22,9,7,71,36,35,75,2,38,20,11,7,65,36,29,71,5,38,23,6,9,77,44,33,75,6,38,19,6,13,74,51,23,63,5,38,21,7,10,73,51,22,70,8,38,14,14,10,56,48,8,56
4,5,Tottenham,38,16,14,8,55,46,9,62,4,38,20,9,9,66,41,25,69,5,38,21,9,8,66,46,20,72,6,38,21,6,11,55,51,4,69,5,38,19,7,12,58,53,5,64,3,38,19,13,6,69,35,34,70,2,38,26,8,4,86,26,60,86,3,38,23,8,7,74,36,38,77,4,38,23,2,13,67,39,28,71,6,38,16,11,11,61,47,14,59
5,6,Liverpool,38,17,7,14,59,44,15,58,8,38,14,10,14,47,40,7,52,7,38,16,13,9,71,43,28,61,2,38,26,6,6,101,50,51,84,6,38,18,8,12,52,48,4,62,8,38,16,12,10,63,50,13,60,4,38,22,10,6,78,42,36,76,4,38,21,12,5,84,38,46,75,2,38,30,7,1,89,22,67,97,1,38,32,3,3,85,33,52,99
6,7,Everton,38,13,15,10,51,45,6,54,7,38,15,11,12,50,40,10,56,6,38,16,15,7,55,40,15,63,5,38,21,9,8,61,39,22,72,11,38,12,11,15,48,50,-2,47,11,38,11,14,13,59,55,4,47,7,38,17,10,11,62,44,18,61,8,38,13,10,15,44,58,-14,49,8,38,15,9,14,54,46,8,54,12,38,13,10,15,44,56,-12,49
7,8,Fulham,38,11,16,11,49,43,6,49,9,38,14,10,14,48,51,-3,52,12,38,11,10,17,50,60,-10,43,19,38,9,5,24,40,85,-45,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,38,7,5,26,34,81,-47,26,,,,,,,,,
8,9,Aston Villa,38,12,12,14,48,59,-11,48,16,38,7,17,14,37,53,-16,38,15,38,10,11,17,47,69,-22,41,15,38,10,8,20,39,61,-22,38,17,38,10,8,20,31,57,-26,38,20,38,3,8,27,27,76,-49,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,38,9,8,21,41,67,-26,35
9,10,Sunderland,38,12,11,15,45,56,-11,47,13,38,11,12,15,45,46,-1,45,17,38,9,12,17,41,54,-13,39,14,38,10,8,20,41,60,-19,38,16,38,7,17,14,31,53,-22,38,17,38,9,12,17,48,62,-14,39,20,38,6,6,26,29,69,-40,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,West Brom,38,12,11,15,56,71,-15,47,10,38,13,8,17,45,52,-7,47,8,38,14,7,17,53,57,-4,49,17,38,7,15,16,43,59,-16,36,13,38,11,11,16,38,51,-13,44,14,38,10,13,15,34,48,-14,43,10,38,12,9,17,43,51,-8,45,20,38,6,13,19,31,56,-25,31,,,,,,,,,,,,,,,,,,
11,12,Newcastle,38,11,13,14,56,57,-1,46,5,38,19,8,11,56,51,5,65,16,38,11,8,19,45,68,-23,41,10,38,15,4,19,43,59,-16,49,15,38,10,9,19,40,63,-23,39,18,38,9,10,19,44,65,-21,37,,,,,,,,,,10,38,12,8,18,39,47,-8,44,13,38,12,9,17,42,48,-6,45,13,38,11,11,16,38,58,-20,44
12,13,Stoke,38,13,7,18,46,48,-2,46,14,38,11,12,15,36,53,-17,45,13,38,9,15,14,34,45,-11,42,9,38,13,11,14,45,52,-7,50,9,38,15,9,14,48,45,3,54,9,38,14,9,15,41,55,-14,51,13,38,11,11,16,41,56,-15,44,19,38,7,12,19,35,68,-33,33,,,,,,,,,,,,,,,,,,
13,14,Bolton,38,12,10,16,52,56,-4,46,18,38,10,6,22,46,77,-31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Blackburn,38,11,10,17,46,59,-13,43,19,38,8,7,23,48,78,-30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Wigan,38,9,15,14,40,61,-21,42,15,38,11,10,17,42,62,-20,43,18,38,9,9,20,47,73,-26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
